epoch,loss
1,3442.610107421875
2,3416.500244140625
3,3396.014404296875
4,3374.0205078125
5,3348.916259765625
6,3319.2001953125
7,3284.9892578125
8,3245.965576171875
9,3201.722900390625
10,3151.73388671875
11,3095.20654296875
12,3031.570068359375
13,2960.4638671875
14,2881.18115234375
15,2793.4970703125
16,2697.1396484375
17,2591.3056640625
18,2476.054443359375
19,2351.45263671875
20,2217.801025390625
21,2075.577880859375
22,1925.44921875
23,1768.43994140625
24,1605.8463134765625
25,1439.343017578125
26,1271.0347900390625
27,1103.7171630859375
28,940.223388671875
29,784.05517578125
30,638.711669921875
31,507.7064208984375
32,394.4676208496094
33,302.5325622558594
34,234.82321166992188
35,193.2639617919922
36,177.89952087402344
37,185.808837890625
38,210.63267517089844
39,243.30035400390625
40,273.9014587402344
41,294.1490478515625
42,299.4693603515625
43,289.2576904296875
44,266.28839111328125
45,235.07579040527344
46,200.61441040039062
47,167.3710174560547
48,138.6785888671875
49,116.41970825195312
50,101.18680572509766
51,92.52722930908203
52,89.27266693115234
53,89.90872192382812
54,92.86004638671875
55,96.68899536132812
56,100.187255859375
57,102.49004364013672
58,103.08253479003906
59,101.7780532836914
60,98.63777923583984
61,93.92279815673828
62,88.1069564819336
63,81.70824432373047
64,75.28263092041016
65,69.29981231689453
66,64.14707946777344
67,60.08174514770508
68,57.20895767211914
69,55.4811897277832
70,54.71938705444336
71,54.64964294433594
72,54.95636749267578
73,55.31730270385742
74,55.46578598022461
75,55.226112365722656
76,54.528194427490234
77,53.396934509277344
78,51.92843246459961
79,50.29716491699219
80,48.62933349609375
81,47.06806945800781
82,45.72071838378906
83,44.644954681396484
84,43.849334716796875
85,43.30314636230469
86,42.94618225097656
87,42.70439910888672
88,42.50423049926758
89,42.28435134887695
90,42.00034713745117
91,41.629878997802734
92,41.167781829833984
93,40.63226318359375
94,40.054771423339844
95,39.46949768066406
96,38.909385681152344
97,38.40113830566406
98,37.96125030517578
99,37.59459686279297
100,37.294193267822266
101,37.05906295776367
102,36.86281204223633
103,36.68337631225586
104,36.50364303588867
105,36.311614990234375
106,36.101959228515625
107,35.874881744384766
108,35.63111877441406
109,35.380733489990234
110,35.13385009765625
111,34.899078369140625
112,34.682044982910156
113,34.48524475097656
114,34.30808639526367
115,34.14753341674805
116,33.99895477294922
117,33.85625076293945
118,33.71610641479492
119,33.57577896118164
120,33.43338394165039
121,33.28853988647461
122,33.14257049560547
123,32.99778747558594
124,32.85627365112305
125,32.72002029418945
126,32.590301513671875
127,32.46712112426758
128,32.350006103515625
129,32.23841857910156
130,32.13096618652344
131,32.0262565612793
132,31.92299461364746
133,31.820289611816406
134,31.71788787841797
135,31.615875244140625
136,31.51463508605957
137,31.41208839416504
138,31.31056785583496
139,31.210981369018555
140,31.11356544494629
141,31.01827049255371
142,30.924468994140625
143,30.831539154052734
144,30.74001121520996
145,30.65568733215332
146,30.572147369384766
147,30.48923110961914
148,30.40695571899414
149,30.32524871826172
150,30.2440185546875
151,30.16375732421875
152,30.08450698852539
153,30.006364822387695
154,29.92893409729004
155,29.850975036621094
156,29.773616790771484
157,29.69675064086914
158,29.622467041015625
159,29.548879623413086
160,29.475406646728516
161,29.402212142944336
162,29.329397201538086
163,29.25699234008789
164,29.1849365234375
165,29.113359451293945
166,29.042226791381836
167,28.97150421142578
168,28.901174545288086
169,28.83602523803711
170,28.7720947265625
171,28.70867919921875
172,28.645782470703125
173,28.58370018005371
174,28.522789001464844
175,28.462493896484375
176,28.402002334594727
177,28.341901779174805
178,28.282020568847656
179,28.22252082824707
180,28.163389205932617
181,28.10462760925293
182,28.047565460205078
183,27.990942001342773
184,27.93471908569336
185,27.878633499145508
186,27.82215118408203
187,27.76593780517578
188,27.710603713989258
189,27.65591812133789
190,27.602081298828125
191,27.548641204833984
192,27.49555778503418
193,27.44287109375
194,27.390525817871094
195,27.33855628967285
196,27.28693199157715
197,27.23568344116211
198,27.184762954711914
199,27.13420867919922
200,27.083961486816406
